aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Bus,104,Income,Household Income,60% to 80% of Area Median Income,0.20887469,1
Reporting Group,Bus,104,Income,Household Income,80% to 100% of Area Median Income,0.08351299,2
Reporting Group,Bus,104,Income,Household Income,100% to 140% of Area Median Income,0.043782307,3
Reporting Group,Bus,104,Income,Household Income,Prefer not to say,0.061199369,4
Reporting Group,Bus,104,Income,Title VI Low-Income,Yes,0.864406465,5
Reporting Group,Bus,104,Income,Title VI Low-Income,No,0.135593535,6
Reporting Group,Bus,104,Other Demographics,Ability to Understand English,Always,0.732910928,7
Reporting Group,Bus,104,Other Demographics,Ability to Understand English,Often,0.125655519,8
Reporting Group,Bus,104,Other Demographics,Ability to Understand English,Sometimes,0.133457382,9
Reporting Group,Bus,104,Other Demographics,Ability to Understand English,Never,0.00797617,10
Reporting Group,Bus,104,Other Demographics,Age,Under 18,0.020185665,11
Reporting Group,Bus,104,Other Demographics,Age,18 to 25,0.255353319,12
Reporting Group,Bus,104,Other Demographics,Age,26 to 34,0.429124306,13
Reporting Group,Bus,104,Other Demographics,Age,35 to 44,0.185126153,14
Reporting Group,Bus,104,Other Demographics,Age,45 to 64,0.101693952,15
Reporting Group,Bus,104,Other Demographics,Age,65 or older,0.008516606,16
Reporting Group,Bus,104,Other Demographics,Gender,Woman,0.542553543,17
Reporting Group,Bus,104,Other Demographics,Gender,Man,0.445732859,18
Reporting Group,Bus,104,Other Demographics,Gender,Non-Binary,0.011713598,19
Reporting Group,Bus,104,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.423603619,20
Reporting Group,Bus,104,Race and Ethnicity,Hispanic or Latino/Latina,No,0.576396381,21
Reporting Group,Bus,104,Race and Ethnicity,Race,American Indian or Alaska Native,0.056089888,22
Reporting Group,Bus,104,Race and Ethnicity,Race,Asian,0.17433301,23
Reporting Group,Bus,104,Race and Ethnicity,Race,Black or African American,0.264286232,24
Reporting Group,Bus,104,Race and Ethnicity,Race,Middle Eastern or North African,0.047634019,25
Reporting Group,Bus,104,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.009065505,26
Reporting Group,Bus,104,Race and Ethnicity,Race,White,0.38705337,27
Reporting Group,Bus,104,Race and Ethnicity,Race,Other,0.130155567,28
Reporting Group,Bus,104,Race and Ethnicity,Race,Prefer not to say,0.066469759,29
Reporting Group,Bus,104,Race and Ethnicity,Title VI Minority,Yes,0.817003995,30
Reporting Group,Bus,104,Race and Ethnicity,Title VI Minority,No,0.182996005,31
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.097665567,32
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,5 days per week,0.449627611,33
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.169326124,34
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,1 to 2 days per week,0.107622022,35
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.108552478,36
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,Less than once per month,0.067206198,37
Reporting Group,Bus,104,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.562298857,38
Reporting Group,Bus,104,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.028716668,39
Reporting Group,Bus,104,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.066827402,40
Reporting Group,Bus,104,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.20951377,41
Reporting Group,Bus,104,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.132643303,42
Reporting Group,Bus,104,Vehicles,Cars per Capita,0,0.39724281,43
Reporting Group,Bus,104,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.403875703,44
Reporting Group,Bus,104,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.017693904,45
Reporting Group,Bus,104,Vehicles,Cars per Capita,1 or more,0.05370672,46
Reporting Group,Bus,104,Vehicles,Usable Cars,0,0.385380575,47
Reporting Group,Bus,104,Vehicles,Usable Cars,1,0.415886067,48
Reporting Group,Bus,104,Vehicles,Usable Cars,2,0.167746251,49
Reporting Group,Bus,104,Vehicles,Usable Cars,3 or more,0.030987107,50
Reporting Group,Bus,1,Other Demographics,Age,65 or older,0.026148751,51
Reporting Group,Bus,1,Other Demographics,Gender,Woman,0.625256107,52
Reporting Group,Bus,1,Other Demographics,Gender,Man,0.354864777,53
Reporting Group,Bus,1,Other Demographics,Gender,Non-Binary,0.016442071,54
Reporting Group,Bus,1,Other Demographics,Gender,Prefer not to say,0.003437046,55
Reporting Group,Bus,1,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.18430405,56
Reporting Group,Bus,1,Race and Ethnicity,Hispanic or Latino/Latina,No,0.803363683,57
Reporting Group,Bus,1,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.012332267,58
Reporting Group,Bus,1,Race and Ethnicity,Race,American Indian or Alaska Native,0.023379472,59
Reporting Group,Bus,1,Race and Ethnicity,Race,Asian,0.187428733,60
Reporting Group,Bus,1,Race and Ethnicity,Race,Black or African American,0.332233364,61
Reporting Group,Bus,1,Race and Ethnicity,Race,Middle Eastern or North African,0.034542407,62
Reporting Group,Bus,1,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0,63
Reporting Group,Bus,1,Race and Ethnicity,Race,White,0.437256419,64
Reporting Group,Bus,1,Race and Ethnicity,Race,Other,0.06286911,65
