month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024/12/01 05:00:00+00,Weekday,21,Blue Line,905115,43101,1
2024/12/01 05:00:00+00,Weekday,21,Orange Line,2208993,105190,2
2024/12/01 05:00:00+00,Weekday,21,Red Line,2367621,112744,3
2024/12/01 05:00:00+00,Weekday,21,Heavy Rail,5481728,261035,4
2024/12/01 05:00:00+00,Weekday,21,Green Line,1670698,79557,5
2024/12/01 05:00:00+00,Weekday,21,Mattapan Line,50714,2415,6
2024/12/01 05:00:00+00,Weekday,21,Light Rail,1721413,81972,7
2024/12/01 05:00:00+00,Weekday,21,Silver Line,631039,30049,8
2024/12/01 05:00:00+00,Weekday,21,Bus,5253721,250177,9
2024/12/01 05:00:00+00,Weekday,21,All Bus,5884760,280227,10
2024/12/01 05:00:00+00,Weekday,21,Commuter Rail,1950999,92905,11
2024/12/01 05:00:00+00,Weekday,21,Ferry,67867,3232,12
2024/12/01 05:00:00+00,Weekday,22,The RIDE,81070,3685,13
2024/12/01 05:00:00+00,Saturday,4,Blue Line,127298,31824,14
2024/12/01 05:00:00+00,Saturday,4,Orange Line,292675,73169,15
2024/12/01 05:00:00+00,Saturday,4,Red Line,302416,75604,16
2024/12/01 05:00:00+00,Saturday,4,Heavy Rail,722389,180597,17
2024/12/01 05:00:00+00,Saturday,4,Green Line,271463,67866,18
2024/12/01 05:00:00+00,Saturday,4,Mattapan Line,4091,1023,19
2024/12/01 05:00:00+00,Saturday,4,Light Rail,275553,68888,20
2024/12/01 05:00:00+00,Saturday,4,Silver Line,84608,21152,21
2024/12/01 05:00:00+00,Saturday,4,Bus,577773,144443,22
2024/12/01 05:00:00+00,Saturday,4,All Bus,662380,165595,23
2024/12/01 05:00:00+00,Saturday,4,Commuter Rail,124283,31071,24
2024/12/01 05:00:00+00,Saturday,4,Ferry,917,229,25
2024/12/01 05:00:00+00,Saturday,4,The RIDE,8036,2009,26
2024/12/01 05:00:00+00,Sunday,6,Blue Line,138830,23138,27
2024/12/01 05:00:00+00,Sunday,6,Orange Line,288516,48086,28
2024/12/01 05:00:00+00,Sunday,6,Red Line,319629,53272,29
2024/12/01 05:00:00+00,Sunday,6,Heavy Rail,746974,124496,30
2024/12/01 05:00:00+00,Sunday,6,Green Line,280485,46748,31
2024/12/01 05:00:00+00,Sunday,6,Mattapan Line,4922,820,32
2024/12/01 05:00:00+00,Sunday,6,Light Rail,285408,47568,33
2024/12/01 05:00:00+00,Sunday,6,Silver Line,121343,20224,34
2024/12/01 05:00:00+00,Sunday,6,Bus,558874,93146,35
2024/12/01 05:00:00+00,Sunday,6,All Bus,680216,113369,36
2024/12/01 05:00:00+00,Sunday,5,Commuter Rail,139548,27910,37
2024/12/01 05:00:00+00,Sunday,5,Ferry,970,194,38
2024/12/01 05:00:00+00,Sunday,5,The RIDE,9275,1855,39
2024/12/01 05:00:00+00,Total,31,Blue Line,1171243,37782,40
2024/12/01 05:00:00+00,Total,31,Orange Line,2790184,90006,41
2024/12/01 05:00:00+00,Total,31,Red Line,2989665,96441,42
2024/12/01 05:00:00+00,Total,31,Heavy Rail,6951092,224229,43
2024/12/01 05:00:00+00,Total,31,Green Line,2222646,71698,44
2024/12/01 05:00:00+00,Total,31,Mattapan Line,59728,1927,45
2024/12/01 05:00:00+00,Total,31,Light Rail,2282374,73625,46
2024/12/01 05:00:00+00,Total,31,Silver Line,836989,27000,47
2024/12/01 05:00:00+00,Total,31,Bus,6390367,206141,48
2024/12/01 05:00:00+00,Total,31,All Bus,7227356,233141,49
2024/12/01 05:00:00+00,Total,31,Commuter Rail,2235957,72128,50
2024/07/01 04:00:00+00,Total,31,Orange Line,2809285,90622,51
2024/07/01 04:00:00+00,Total,31,Red Line,2711651,87473,52
2024/07/01 04:00:00+00,Total,31,Heavy Rail,6968473,224789,53
2024/07/01 04:00:00+00,Total,31,Green Line,2577221,83136,54
2024/07/01 04:00:00+00,Total,31,Mattapan Line,77622,2504,55
2024/07/01 04:00:00+00,Total,31,Light Rail,2654843,85640,56
2024/07/01 04:00:00+00,Total,31,Silver Line,880384,28399,57
2024/07/01 04:00:00+00,Total,31,Bus,7041771,227154,58
2024/07/01 04:00:00+00,Total,31,All Bus,7922156,255553,59
2024/07/01 04:00:00+00,Total,31,Commuter Rail,2704837,87253,60
2024/07/01 04:00:00+00,Total,31,Ferry,204539,6598,61
2024/07/01 04:00:00+00,Total,31,The RIDE,96858,3124,62
2024/06/01 04:00:00+00,Weekday,20,Blue Line,997502,49875,63
2024/06/01 04:00:00+00,Weekday,20,Orange Line,1739974,86999,64
2024/06/01 04:00:00+00,Weekday,20,Red Line,2501402,125070,65
2024/06/01 04:00:00+00,Weekday,20,Heavy Rail,5238877,261944,66
2024/06/01 04:00:00+00,Weekday,20,Green Line,1883716,94186,67
2024/06/01 04:00:00+00,Weekday,20,Mattapan Line,65447,3272,68
2024/06/01 04:00:00+00,Weekday,20,Light Rail,1949163,97458,69
2024/06/01 04:00:00+00,Weekday,20,Silver Line,624972,31249,70
2024/06/01 04:00:00+00,Weekday,20,Bus,5181514,259076,71
2024/06/01 04:00:00+00,Weekday,20,All Bus,5806485,290324,72
2024/06/01 04:00:00+00,Weekday,20,Commuter Rail,2159079,107954,73
2024/06/01 04:00:00+00,Weekday,20,Ferry,120538,6027,74
2024/06/01 04:00:00+00,Weekday,20,The RIDE,75080,3754,75
2024/06/01 04:00:00+00,Saturday,5,Blue Line,193928,38786,76
2024/06/01 04:00:00+00,Saturday,5,Orange Line,259911,51982,77
2024/06/01 04:00:00+00,Saturday,5,Red Line,351493,70299,78
2024/06/01 04:00:00+00,Saturday,5,Heavy Rail,805333,161067,79
2024/06/01 04:00:00+00,Saturday,5,Green Line,400034,80007,80
2024/06/01 04:00:00+00,Saturday,5,Mattapan Line,8653,1731,81
2024/06/01 04:00:00+00,Saturday,5,Light Rail,408687,81737,82
2024/06/01 04:00:00+00,Saturday,5,Silver Line,111831,22366,83
2024/06/01 04:00:00+00,Saturday,5,Bus,818383,163677,84
2024/06/01 04:00:00+00,Saturday,5,All Bus,930214,186043,85
2024/06/01 04:00:00+00,Saturday,5,Commuter Rail,184375,36875,86
2024/06/01 04:00:00+00,Saturday,5,Ferry,21797,4359,87
2024/06/01 04:00:00+00,Saturday,5,The RIDE,9760,1952,88
2024/06/01 04:00:00+00,Sunday,5,Blue Line,153409,30682,89
2024/06/01 04:00:00+00,Sunday,5,Orange Line,191722,38344,90
2024/06/01 04:00:00+00,Sunday,5,Red Line,264857,52971,91
2024/06/01 04:00:00+00,Sunday,5,Heavy Rail,609988,121998,92
2024/06/01 04:00:00+00,Sunday,5,Green Line,299215,59843,93
2024/06/01 04:00:00+00,Sunday,5,Mattapan Line,5600,1120,94
2024/06/01 04:00:00+00,Sunday,5,Light Rail,304815,60963,95
2024/06/01 04:00:00+00,Sunday,5,Silver Line,92176,18435,96
2024/06/01 04:00:00+00,Sunday,5,Bus,557560,111512,97
2024/06/01 04:00:00+00,Sunday,5,All Bus,649737,129947,98
2024/06/01 04:00:00+00,Sunday,5,Commuter Rail,145348,29070,99
2024/06/01 04:00:00+00,Sunday,5,Ferry,14574,2915,100
2024/12/01 05:00:00+00,Total,31,Ferry,69754,2250,101
2024/12/01 05:00:00+00,Total,31,The RIDE,98387,3174,102
2024/11/01 04:00:00+00,Weekday,20,Blue Line,976825,48841,103
2024/11/01 04:00:00+00,Weekday,20,Orange Line,2118735,105937,104
2024/11/01 04:00:00+00,Weekday,20,Red Line,2117320,105866,105
2024/11/01 04:00:00+00,Weekday,20,Heavy Rail,5212880,260644,106
2024/11/01 04:00:00+00,Weekday,20,Green Line,2001837,100092,107
2024/11/01 04:00:00+00,Weekday,20,Mattapan Line,57052,2853,108
2024/11/01 04:00:00+00,Weekday,20,Light Rail,2058888,102944,109
2024/11/01 04:00:00+00,Weekday,20,Silver Line,721611,36081,110
2024/11/01 04:00:00+00,Weekday,20,Bus,5646474,282324,111
2024/11/01 04:00:00+00,Weekday,20,All Bus,6368085,318404,112
2024/11/01 04:00:00+00,Weekday,19,Commuter Rail,1962778,103304,113
2024/11/01 04:00:00+00,Weekday,19,Ferry,82699,4353,114
2024/11/01 04:00:00+00,Weekday,21,The RIDE,82572,3932,115
2024/11/01 04:00:00+00,Saturday,5,Blue Line,182640,36528,116
2024/11/01 04:00:00+00,Saturday,5,Orange Line,372878,74576,117
2024/11/01 04:00:00+00,Saturday,5,Red Line,375631,75126,118
2024/11/01 04:00:00+00,Saturday,5,Heavy Rail,931150,186230,119
2024/11/01 04:00:00+00,Saturday,5,Green Line,419413,83883,120
2024/11/01 04:00:00+00,Saturday,5,Mattapan Line,5978,1196,121
2024/11/01 04:00:00+00,Saturday,5,Light Rail,425391,85078,122
2024/11/01 04:00:00+00,Saturday,5,Silver Line,126034,25207,123
2024/11/01 04:00:00+00,Saturday,5,Bus,799622,159924,124
2024/11/01 04:00:00+00,Saturday,5,All Bus,925657,185131,125
2024/11/01 04:00:00+00,Saturday,5,Commuter Rail,195480,39096,126
2024/11/01 04:00:00+00,Saturday,5,Ferry,3050,610,127
2024/11/01 04:00:00+00,Saturday,5,The RIDE,10175,2035,128
2024/11/01 04:00:00+00,Sunday,5,Blue Line,130317,26063,129
2024/11/01 04:00:00+00,Sunday,5,Orange Line,251214,50243,130
2024/11/01 04:00:00+00,Sunday,5,Red Line,252715,50543,131
2024/11/01 04:00:00+00,Sunday,5,Heavy Rail,634246,126849,132
2024/11/01 04:00:00+00,Sunday,5,Green Line,286740,57348,133
2024/11/01 04:00:00+00,Sunday,5,Mattapan Line,3751,750,134
2024/11/01 04:00:00+00,Sunday,5,Light Rail,290491,58098,135
2024/11/01 04:00:00+00,Sunday,5,Silver Line,98585,19717,136
2024/11/01 04:00:00+00,Sunday,5,Bus,514980,102996,137
2024/11/01 04:00:00+00,Sunday,5,All Bus,613566,122713,138
2024/11/01 04:00:00+00,Sunday,4,Commuter Rail,102994,25748,139
2024/11/01 04:00:00+00,Sunday,4,Ferry,2494,624,140
2024/11/01 04:00:00+00,Sunday,4,The RIDE,7884,1971,141
2024/11/01 04:00:00+00,Total,30,Blue Line,1289782,42993,142
2024/11/01 04:00:00+00,Total,30,Orange Line,2742828,91428,143
2024/11/01 04:00:00+00,Total,30,Red Line,2745666,91522,144
2024/11/01 04:00:00+00,Total,30,Heavy Rail,6778276,225943,145
2024/11/01 04:00:00+00,Total,30,Green Line,2707990,90266,146
2024/11/01 04:00:00+00,Total,30,Mattapan Line,66780,2226,147
2024/11/01 04:00:00+00,Total,30,Light Rail,2774770,92492,148
2024/11/01 04:00:00+00,Total,30,Silver Line,946230,31541,149
2024/11/01 04:00:00+00,Total,30,Bus,6961076,232036,150
2024/08/01 04:00:00+00,Total,31,Heavy Rail,6900226,222588,151
2024/08/01 04:00:00+00,Total,31,Green Line,2730848,88092,152
2024/08/01 04:00:00+00,Total,31,Mattapan Line,71424,2304,153
2024/08/01 04:00:00+00,Total,31,Light Rail,2802272,90396,154
2024/08/01 04:00:00+00,Total,31,Silver Line,870265,28073,155
2024/08/01 04:00:00+00,Total,31,Bus,7028462,226725,156
2024/08/01 04:00:00+00,Total,31,All Bus,7898727,254798,157
2024/08/01 04:00:00+00,Total,31,Commuter Rail,2634106,84971,158
2024/08/01 04:00:00+00,Total,31,Ferry,185238,5975,159
2024/08/01 04:00:00+00,Total,31,The RIDE,97461,3144,160
2024/07/01 04:00:00+00,Weekday,22,Blue Line,1100450,50020,161
2024/07/01 04:00:00+00,Weekday,22,Orange Line,2276481,103476,162
2024/07/01 04:00:00+00,Weekday,22,Red Line,2302785,104672,163
2024/07/01 04:00:00+00,Weekday,22,Heavy Rail,5679715,258169,164
2024/07/01 04:00:00+00,Weekday,22,Green Line,2000887,90949,165
2024/07/01 04:00:00+00,Weekday,22,Mattapan Line,65958,2998,166
2024/07/01 04:00:00+00,Weekday,22,Light Rail,2066844,93947,167
2024/07/01 04:00:00+00,Weekday,22,Silver Line,703362,31971,168
2024/07/01 04:00:00+00,Weekday,22,Bus,5827384,264881,169
2024/07/01 04:00:00+00,Weekday,22,All Bus,6530747,296852,170
2024/07/01 04:00:00+00,Weekday,22,Commuter Rail,2407465,109430,171
2024/07/01 04:00:00+00,Weekday,22,Ferry,156541,7116,172
2024/07/01 04:00:00+00,Weekday,22,The RIDE,81903,3723,173
2024/07/01 04:00:00+00,Saturday,4,Blue Line,168442,42110,174
2024/07/01 04:00:00+00,Saturday,4,Orange Line,263422,65856,175
2024/07/01 04:00:00+00,Saturday,4,Red Line,186157,46539,176
2024/07/01 04:00:00+00,Saturday,4,Heavy Rail,618021,154505,177
2024/07/01 04:00:00+00,Saturday,4,Green Line,280247,70062,178
2024/07/01 04:00:00+00,Saturday,4,Mattapan Line,6246,1562,179
2024/07/01 04:00:00+00,Saturday,4,Light Rail,286493,71623,180
2024/07/01 04:00:00+00,Saturday,4,Silver Line,83032,20758,181
2024/07/01 04:00:00+00,Saturday,4,Bus,641881,160470,182
2024/07/01 04:00:00+00,Saturday,4,All Bus,724913,181228,183
2024/07/01 04:00:00+00,Saturday,4,Commuter Rail,153030,38258,184
2024/07/01 04:00:00+00,Saturday,4,Ferry,23641,5910,185
2024/07/01 04:00:00+00,Saturday,4,The RIDE,7496,1874,186
2024/07/01 04:00:00+00,Sunday,4,Blue Line,142794,35698,187
2024/07/01 04:00:00+00,Sunday,4,Orange Line,214489,53622,188
2024/07/01 04:00:00+00,Sunday,4,Red Line,157837,39459,189
2024/07/01 04:00:00+00,Sunday,4,Heavy Rail,515119,128780,190
2024/07/01 04:00:00+00,Sunday,4,Green Line,240710,60178,191
2024/07/01 04:00:00+00,Sunday,4,Mattapan Line,4118,1030,192
