aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Line,Bus,1,Trip purpose,Trip purpose,Home-based other,0.0876968143537166,424
Line,Bus,1,Trip purpose,Trip purpose,Home-based school,0.0947455144635665,142
Line,Bus,1,Trip purpose,Trip purpose,Home-based social activity,0.0663676309044306,283
Line,Bus,1,Trip purpose,Trip purpose,Home-based work,0.649304284145002,1
Line,Bus,1,Trip purpose,Trip purpose,Non-home-based,0.101885756133285,565
Line,Bus,1,Trip frequency,Trip frequency,1-2 days a week,0.076543873801201,1144
Line,Bus,1,Trip frequency,Trip frequency,1-3 days a month,0.0533297481401811,1290
Line,Bus,1,Trip frequency,Trip frequency,3-4 days a week,0.164739625347316,998
Line,Bus,1,Trip frequency,Trip frequency,5 days a week,0.45944250246482,852
Line,Bus,1,Trip frequency,Trip frequency,6-7 days a week,0.143855875235278,706
Line,Bus,1,Trip frequency,Trip frequency,Less than once a month,0.102088375011204,1436
Line,Bus,1,Fare,Fare,1-day or 7-day LinkPass,0.0254259969667232,1878
Line,Bus,1,Fare,Fare,Monthly pass,0.775983584619502,1582
Line,Bus,1,Fare,Fare,Other,0.00695869390668213,2026
Line,Bus,1,Fare,Fare,Pay-per-ride,0.191720938531537,1730
Line,Bus,1,Monthly pass type,Monthly pass type,Commuter rail or ferry,0.0297769602207404,2618
Line,Bus,1,Monthly pass type,Monthly pass type,LinkPass or Express Bus,0.794665440331111,2470
Line,Bus,1,Monthly pass type,Monthly pass type,Local Bus,0.0565647275235686,2322
Line,Bus,1,Monthly pass type,Monthly pass type,Reduced-fare pass,0.11899287192458,2174
Line,Bus,1,Pay-per-ride type,Pay-per-ride type,CharlieCard (plastic),0.879478827361563,3210
Line,Bus,1,Pay-per-ride type,Pay-per-ride type,CharlieTicket (paper),0.0120986505351326,3358
Line,Bus,1,Pay-per-ride type,Pay-per-ride type,Full cash fare on board,0.0241973010702652,2766
Line,Bus,1,Pay-per-ride type,Pay-per-ride type,Reduced fare,0.0846905537459283,2914
Line,Bus,1,Pay-per-ride type,Pay-per-ride type,mTicket (single/multi-ride),0.0,3062
Line,Bus,1,Access to first MBTA service,Access to first MBTA service,Carpooled,0.0,3810
Line,Bus,1,Access to first MBTA service,Access to first MBTA service,Dropped off by other vehicle,0.013495476790746,4114
Line,Bus,1,Access to first MBTA service,Access to first MBTA service,Dropped off by personal vehicle,0.0038558505116417,3962
Line,Bus,1,Access to first MBTA service,Access to first MBTA service,Drove alone,0.00192792525582085,3658
Line,Bus,1,Access to first MBTA service,Access to first MBTA service,Walked or bicycled,0.980869049384547,3506
Line,Bus,1,Previous transit mode,Previous transit mode,Bus or Silver Line,0.349709691826708,4266
Line,Bus,1,Previous transit mode,Previous transit mode,Commuter rail or ferry,0.00580616346583296,4580
Line,Bus,1,Previous transit mode,Previous transit mode,Rail rapid transit,0.644484144707459,4423
Line,Bus,1,Use alternative modes,Use alternative modes,No,0.283050999372591,4873
Line,Bus,1,Use alternative modes,Use alternative modes,Yes,0.716949000627409,4737
Line,Bus,1,Alternative modes,Alternative modes,Bicycle,0.188876305524097,5145
Line,Bus,1,Alternative modes,Alternative modes,Drive alone,0.117276959859066,5281
Line,Bus,1,Alternative modes,Alternative modes,Drive or ride in a carpool,0.084686045048446,5417
Line,Bus,1,Alternative modes,Alternative modes,Other,0.00654334969170756,5961
Line,Bus,1,Alternative modes,Alternative modes,Take a different MBTA service,0.570026425066063,5825
Line,Bus,1,Alternative modes,Alternative modes,Take a private shuttle or other transit,0.0651818296212407,5689
Line,Bus,1,Alternative modes,Alternative modes,Take a taxi or use a rideshare company,0.231282244872279,5553
Line,Bus,1,Alternative modes,Alternative modes,Walk,0.338744180193784,5009
Line,Bus,1,Usable household vehicles,Usable household vehicles,0,0.4800036357026,6097
Line,Bus,1,Usable household vehicles,Usable household vehicles,1,0.40238138520269,6244
Line,Bus,1,Usable household vehicles,Usable household vehicles,2,0.089438283948373,6391
Line,Bus,1,Usable household vehicles,Usable household vehicles,3 or more,0.0282675877113252,6538
Line,Bus,1,Vehicles per capita,Vehicles per capita,0.01-0.49,0.137284605188411,6831
Line,Bus,1,Vehicles per capita,Vehicles per capita,0.50-0.99,0.267184245408067,6977
Line,Bus,1,Vehicles per capita,Vehicles per capita,1.00-1.49,0.124976330240485,7123
Line,Bus,1,Vehicles per capita,Vehicles per capita,1.50-1.99,0.0,7269
Line,Bus,1,Vehicles per capita,Vehicles per capita,2 or more,0.0,7415
Line,Bus,1,Vehicles per capita,Vehicles per capita,None,0.470554819163037,6685
Line,Bus,1,Valid driver's license,Valid driver's license,No,0.21960465746006,7706
Line,Bus,1,Valid driver's license,Valid driver's license,Yes,0.78039534253994,7561
Line,Bus,1,Household income,Household income,"$108,500 to $151,999",0.0945205479452055,8739
Line,Bus,1,Household income,Household income,"$14,500 to $28,999",0.0851141552511415,7999
Line,Bus,1,Household income,Household income,"$152,000 or more",0.148949771689498,8887
Line,Bus,1,Household income,Household income,"$29,000 to $43,499",0.104018264840183,8147
Line,Bus,1,Household income,Household income,"$43,500 to $57,999",0.101643835616438,8295
Line,Bus,1,Household income,Household income,"$58,000 to $75,999",0.118173515981735,8443
Line,Bus,1,Household income,Household income,"$76,000 to $108,499",0.108767123287671,8591
Line,Bus,1,Household income,Household income,"Less than $14,500",0.104018264840183,7851
Line,Bus,1,Household income,Household income,Prefer not to say,0.134794520547945,9035
Line,Bus,1,Low-income classification,Low-income classification,No,0.661213720316623,9331
Line,Bus,1,Low-income classification,Low-income classification,Yes,0.338786279683377,9183
Line,Bus,1,Race,Race,American Indian or Alaska Native,0.0164127675009068,9479
Line,Bus,1,Race,Race,Asian,0.0985672832789264,9626
Line,Bus,1,Race,Race,Black or African American,0.14082335872325,9773
Line,Bus,1,Race,Race,Native Hawaiian or other Pacific Islander,0.0,9920
Line,Bus,1,Race,Race,Other,0.0704570184983678,10214
Line,Bus,1,Race,Race,Prefer not to say,0.0539535727239753,10361
Line,Bus,1,Race,Race,White,0.683079434167573,10067
Line,Bus,1,Hispanic or Latino/Latina,Hispanic or Latino/Latina,No,0.856813571823714,10658
Line,Bus,1,Hispanic or Latino/Latina,Hispanic or Latino/Latina,Prefer not to say,0.0477595426885488,10808
Line,Bus,1,Hispanic or Latino/Latina,Hispanic or Latino/Latina,Yes,0.0954268854877374,10508
Line,Bus,1,Minority classification,Minority classification,No,0.633060491115991,11104
Line,Bus,1,Minority classification,Minority classification,Yes,0.366939508884009,10958
Line,Bus,1,Age,Age,18 to 21,0.0351004161389542,11395
Line,Bus,1,Age,Age,22 to 34,0.531572281527049,11540
Line,Bus,1,Age,Age,35 to 44,0.142844219287136,11685
Line,Bus,1,Age,Age,45 to 64,0.224805500271395,11830
Line,Bus,1,Age,Age,65 or over,0.0608829383028768,11975
Line,Bus,1,Age,Age,Under 18,0.00470417948254026,11250
Line,Bus,1,Gender,Gender,Man,0.345789331167073,12120
Line,Bus,1,Gender,Gender,Other,0.00234678220055962,12414
Line,Bus,1,Gender,Gender,Prefer not to say,0.018683996750609298,12561
Line,Bus,1,Gender,Gender,Woman,0.633179889881758,12267
Line,Bus,1,Ability to understand English,Ability to understand English,Always,0.964978788699341,12708
Line,Bus,1,Ability to understand English,Ability to understand English,Never,0.00234678220055962,13170
Line,Bus,1,Ability to understand English,Ability to understand English,Often,0.0163372145500496,12862
Line,Bus,1,Ability to understand English,Ability to understand English,Prefer not to say,0.00704034660167885,13324
Line,Bus,1,Ability to understand English,Ability to understand English,Sometimes,0.00938712880223847,13016
Line,Bus,4,Trip purpose,Trip purpose,Home-based other,0.0261627906976744,425
Line,Bus,4,Trip purpose,Trip purpose,Home-based school,0.00872093023255814,143
Line,Bus,4,Trip purpose,Trip purpose,Home-based social activity,0.00872093023255814,284
Line,Bus,4,Trip purpose,Trip purpose,Home-based work,0.904069767441861,2
Line,Bus,4,Trip purpose,Trip purpose,Non-home-based,0.0465116279069767,566
Line,Bus,4,Trip frequency,Trip frequency,1-2 days a week,0.0348525469168901,1145
Line,Bus,4,Trip frequency,Trip frequency,1-3 days a month,0.00804289544235925,1291
Line,Bus,4,Trip frequency,Trip frequency,3-4 days a week,0.14745308310992,999
Line,Bus,4,Trip frequency,Trip frequency,5 days a week,0.729222520107239,853
Line,Bus,4,Trip frequency,Trip frequency,6-7 days a week,0.0268096514745308,707
Line,Bus,4,Trip frequency,Trip frequency,Less than once a month,0.0509383378016086,1437
Line,Bus,4,Fare,Fare,1-day or 7-day LinkPass,0.0181268882175227,1879
Line,Bus,4,Fare,Fare,Monthly pass,0.851963746223565,1583
Line,Bus,4,Fare,Fare,Other,0.0,2027
Line,Bus,4,Fare,Fare,Pay-per-ride,0.126888217522659,1731
Line,Bus,4,Monthly pass type,Monthly pass type,Commuter rail or ferry,0.631205673758865,2619
Line,Bus,4,Monthly pass type,Monthly pass type,LinkPass or Express Bus,0.319148936170213,2471
Line,Bus,4,Monthly pass type,Monthly pass type,Local Bus,0.0106382978723404,2323
Line,Bus,4,Monthly pass type,Monthly pass type,Reduced-fare pass,0.0319148936170213,2175
Line,Bus,4,Pay-per-ride type,Pay-per-ride type,CharlieCard (plastic),0.69047619047619,3211
Line,Bus,4,Pay-per-ride type,Pay-per-ride type,CharlieTicket (paper),0.0,3359
Line,Bus,4,Pay-per-ride type,Pay-per-ride type,Full cash fare on board,0.142857142857143,2767
Line,Bus,4,Pay-per-ride type,Pay-per-ride type,Reduced fare,0.142857142857143,2915
Line,Bus,4,Pay-per-ride type,Pay-per-ride type,mTicket (single/multi-ride),0.0,3063
Line,Bus,4,Access to first MBTA service,Access to first MBTA service,Carpooled,0.0,3811
Line,Bus,4,Access to first MBTA service,Access to first MBTA service,Dropped off by other vehicle,0.0161290322580645,4115
Line,Bus,4,Access to first MBTA service,Access to first MBTA service,Dropped off by personal vehicle,0.0,3963
Line,Bus,4,Access to first MBTA service,Access to first MBTA service,Drove alone,0.0,3659
Line,Bus,4,Access to first MBTA service,Access to first MBTA service,Walked or bicycled,0.983870967741936,3507
Line,Bus,4,Previous transit mode,Previous transit mode,Bus or Silver Line,0.122093023255814,4267
Line,Bus,4,Previous transit mode,Previous transit mode,Commuter rail or ferry,0.703488372093023,4581
Line,Bus,4,Previous transit mode,Previous transit mode,Rail rapid transit,0.168604651162791,4424
Line,Bus,4,Use alternative modes,Use alternative modes,No,0.419354838709677,4874
Line,Bus,4,Use alternative modes,Use alternative modes,Yes,0.580645161290323,4738
Line,Bus,4,Alternative modes,Alternative modes,Bicycle,0.0460829493087558,5146
Line,Bus,4,Alternative modes,Alternative modes,Drive alone,0.23963133640553,5282
Line,Bus,4,Alternative modes,Alternative modes,Drive or ride in a carpool,0.119815668202765,5418
